Gene_haplotype_1	Berry1.1	Berry2.1	Berry3.1	Leaf1.1	Leaf2.1	Leaf3.1	Tend1.1	Tend2.1	Tend3.1	Total.1	Gene_haplotype_2	Berry1.2	Berry2.2	Berry3.2	Leaf1.2	Leaf2.2	Leaf3.2	Tend1.2	Tend2.2	Tend3.2	Total.2
FUN.rk.hap1.000004	34	35	20	69	66	36	9	13	14	296	FUN.rk.hap2.023935	29	39	17	82	106	61	9	19	34	396
FUN.rk.hap1.000005	18	47	19	15	18	12	41	79	123	372	FUN.rk.hap2.023934	35	52	25	8	25	26	63	109	186	529
FUN.rk.hap1.000008	0	1	0	0	0	0	0	0	0	1	FUN.rk.hap2.023931	1	1	0	1	0	0	0	0	0	3
FUN.rk.hap1.000009	4	1	0	2	11	8	0	1	0	27	FUN.rk.hap2.023930	1	2	2	4	15	5	0	1	0	30
FUN.rk.hap1.000010	113	129	65	389	558	510	80	144	179	2167	FUN.rk.hap2.023929	127	132	77	378	497	426	93	174	209	2113
FUN.rk.hap1.000020	636	666	311	605	693	477	335	356	643	4722	FUN.rk.hap2.023926	574	649	283	575	609	463	302	342	561	4358
FUN.rk.hap1.000023	94	89	44	135	136	133	87	111	147	976	FUN.rk.hap2.023923	23	33	25	49	69	49	36	37	52	373
FUN.rk.hap1.000025	43	29	27	65	98	127	8	15	12	424	FUN.rk.hap2.023922	34	52	38	74	82	136	9	18	0	443
FUN.rk.hap1.000032	0	1	0	54	108	71	1	1	7	243	FUN.rk.hap2.023915	2	2	4	206	291	243	9	0	10	767
FUN.rk.hap1.000040	3	6	1	20	29	34	9	16	27	145	FUN.rk.hap2.023906	2	0	2	24	26	37	25	24	55	195
FUN.rk.hap1.000044	0	0	0	0	0	1	0	0	0	1	FUN.rk.hap2.023901	0	0	0	1	1	1	0	0	0	3
FUN.rk.hap1.000045	43	41	29	28	49	29	13	25	36	293	FUN.rk.hap2.023900	37	58	18	33	49	43	13	34	39	324
FUN.rk.hap1.000054	59	64	32	127	152	122	37	40	69	702	FUN.rk.hap2.023887	26	32	18	78	85	64	14	28	42	387
FUN.rk.hap1.000056	3	0	3	8	8	15	2	5	2	46	FUN.rk.hap2.023886	0	0	0	0	0	0	0	0	0	0
FUN.rk.hap1.000057	106	97	45	235	285	284	56	100	99	1307	FUN.rk.hap2.023884	83	97	54	204	268	251	64	119	87	1227
FUN.rk.hap1.000058	154	188	108	209	221	188	123	185	227	1603	FUN.rk.hap2.023883	176	210	119	232	288	211	142	195	248	1821
FUN.rk.hap1.000067	2066	2196	1163	62	93	74	469	523	459	7105	FUN.rk.hap2.023879	1375	1653	747	20	39	37	186	291	235	4583
FUN.rk.hap1.000076	5	5	6	0	0	0	1	1	0	18	FUN.rk.hap2.023871	3	7	2	1	0	1	0	0	0	14
FUN.rk.hap1.000077	0	0	0	0	0	0	1	0	1	2	FUN.rk.hap2.023870	0	0	0	1	1	3	1	0	0	6
FUN.rk.hap1.000079	1	7	4	168	354	201	100	57	134	1026	FUN.rk.hap2.023869	0	1	0	240	408	342	46	27	94	1158
FUN.rk.hap1.000080	50	65	24	75	77	78	25	34	60	488	FUN.rk.hap2.023868	152	230	130	115	124	139	32	86	75	1083
FUN.rk.hap1.000086	430	509	290	251	275	264	94	89	207	2409	FUN.rk.hap2.023864	461	503	285	245	209	274	80	109	208	2374
