Haplotype_1	Haplotype_2
FUN.rk.hap1.000004	FUN.rk.hap2.023935
FUN.rk.hap1.000005	FUN.rk.hap2.023934
FUN.rk.hap1.000006	FUN.rk.hap2.042461
FUN.rk.hap1.000008	FUN.rk.hap2.023931
FUN.rk.hap1.000009	FUN.rk.hap2.023930
FUN.rk.hap1.000010	FUN.rk.hap2.023929
FUN.rk.hap1.000020	FUN.rk.hap2.023926
FUN.rk.hap1.000023	FUN.rk.hap2.023923
FUN.rk.hap1.000025	FUN.rk.hap2.023922
FUN.rk.hap1.000027	FUN.rk.hap2.023917
FUN.rk.hap1.000029	FUN.rk.hap2.023916
FUN.rk.hap1.000032	FUN.rk.hap2.023915
FUN.rk.hap1.000033	FUN.rk.hap2.023914
FUN.rk.hap1.000037	FUN.rk.hap2.023910
FUN.rk.hap1.000040	FUN.rk.hap2.023906
FUN.rk.hap1.000043	FUN.rk.hap2.023902
FUN.rk.hap1.000044	FUN.rk.hap2.023901
FUN.rk.hap1.000045	FUN.rk.hap2.023900
FUN.rk.hap1.000046	FUN.rk.hap2.023899
FUN.rk.hap1.000054	FUN.rk.hap2.023887
FUN.rk.hap1.000056	FUN.rk.hap2.023886
FUN.rk.hap1.000057	FUN.rk.hap2.023884
FUN.rk.hap1.000058	FUN.rk.hap2.023883
FUN.rk.hap1.000067	FUN.rk.hap2.023879
FUN.rk.hap1.000069	FUN.rk.hap2.023877
FUN.rk.hap1.000076	FUN.rk.hap2.023871
FUN.rk.hap1.000077	FUN.rk.hap2.023870
FUN.rk.hap1.000079	FUN.rk.hap2.023869
FUN.rk.hap1.000080	FUN.rk.hap2.023868
FUN.rk.hap1.000082	FUN.rk.hap2.023867
FUN.rk.hap1.000083	FUN.rk.hap2.023866
FUN.rk.hap1.000086	FUN.rk.hap2.023864
FUN.rk.hap1.000096	FUN.rk.hap2.008748
FUN.rk.hap1.000099	FUN.rk.hap2.023857
FUN.rk.hap1.000116	FUN.rk.hap2.023848
FUN.rk.hap1.000117	FUN.rk.hap2.023847
FUN.rk.hap1.000118	FUN.rk.hap2.023846
FUN.rk.hap1.000120	FUN.rk.hap2.023845
FUN.rk.hap1.000121	FUN.rk.hap2.023844
FUN.rk.hap1.000122	FUN.rk.hap2.023843
FUN.rk.hap1.000123	FUN.rk.hap2.023842
FUN.rk.hap1.000124	FUN.rk.hap2.023841
FUN.rk.hap1.000125	FUN.rk.hap2.023840
FUN.rk.hap1.000127	FUN.rk.hap2.023838
FUN.rk.hap1.000128	FUN.rk.hap2.023837
FUN.rk.hap1.000129	FUN.rk.hap2.023836
FUN.rk.hap1.000130	FUN.rk.hap2.023835
FUN.rk.hap1.000131	FUN.rk.hap2.023834
FUN.rk.hap1.000133	FUN.rk.hap2.023832
FUN.rk.hap1.000134	FUN.rk.hap2.023831
FUN.rk.hap1.000135	FUN.rk.hap2.023830
FUN.rk.hap1.000136	FUN.rk.hap2.023829
FUN.rk.hap1.000137	FUN.rk.hap2.023828
FUN.rk.hap1.000140	FUN.rk.hap2.023826
FUN.rk.hap1.000142	FUN.rk.hap2.023823
FUN.rk.hap1.000146	FUN.rk.hap2.023821
FUN.rk.hap1.000147	FUN.rk.hap2.023819
FUN.rk.hap1.000149	FUN.rk.hap2.023818
FUN.rk.hap1.000150	FUN.rk.hap2.023817
FUN.rk.hap1.000151	FUN.rk.hap2.023816
FUN.rk.hap1.000152	FUN.rk.hap2.023815
FUN.rk.hap1.000153	FUN.rk.hap2.023814
FUN.rk.hap1.000154	FUN.rk.hap2.023813
FUN.rk.hap1.000155	FUN.rk.hap2.023812
FUN.rk.hap1.000157	FUN.rk.hap2.023810
FUN.rk.hap1.000158	FUN.rk.hap2.023809
FUN.rk.hap1.000160	FUN.rk.hap2.023808
FUN.rk.hap1.000161	FUN.rk.hap2.023807
FUN.rk.hap1.000164	FUN.rk.hap2.023802
FUN.rk.hap1.000165	FUN.rk.hap2.023801
FUN.rk.hap1.000168	FUN.rk.hap2.023799
FUN.rk.hap1.000170	FUN.rk.hap2.023798
FUN.rk.hap1.000171	FUN.rk.hap2.023797
FUN.rk.hap1.000172	FUN.rk.hap2.023796
FUN.rk.hap1.000173	FUN.rk.hap2.023795
FUN.rk.hap1.000174	FUN.rk.hap2.023794
FUN.rk.hap1.000177	FUN.rk.hap2.023792
FUN.rk.hap1.000179	FUN.rk.hap2.023787
FUN.rk.hap1.000180	FUN.rk.hap2.023785
FUN.rk.hap1.000181	FUN.rk.hap2.023784
FUN.rk.hap1.000183	FUN.rk.hap2.023783
FUN.rk.hap1.000189	FUN.rk.hap2.023777
FUN.rk.hap1.000190	FUN.rk.hap2.023775
FUN.rk.hap1.000191	FUN.rk.hap2.023774
FUN.rk.hap1.000192	FUN.rk.hap2.023773
FUN.rk.hap1.000193	FUN.rk.hap2.023772
FUN.rk.hap1.000195	FUN.rk.hap2.023762
FUN.rk.hap1.000197	FUN.rk.hap2.023759
FUN.rk.hap1.000198	FUN.rk.hap2.023757
FUN.rk.hap1.000202	FUN.rk.hap2.023753
FUN.rk.hap1.000203	FUN.rk.hap2.023751
FUN.rk.hap1.000204	FUN.rk.hap2.039431
FUN.rk.hap1.000206	FUN.rk.hap2.023748
FUN.rk.hap1.000207	FUN.rk.hap2.023747
FUN.rk.hap1.000208	FUN.rk.hap2.023746
FUN.rk.hap1.000210	FUN.rk.hap2.023744
FUN.rk.hap1.000218	FUN.rk.hap2.023736
FUN.rk.hap1.000219	FUN.rk.hap2.023735
FUN.rk.hap1.000221	FUN.rk.hap2.023734
FUN.rk.hap1.000222	FUN.rk.hap2.023733
FUN.rk.hap1.000224	FUN.rk.hap2.023731
FUN.rk.hap1.000225	FUN.rk.hap2.023730
FUN.rk.hap1.000226	FUN.rk.hap2.023729
FUN.rk.hap1.000228	FUN.rk.hap2.023723
FUN.rk.hap1.000229	FUN.rk.hap2.023722
FUN.rk.hap1.000230	FUN.rk.hap2.023721
FUN.rk.hap1.000231	FUN.rk.hap2.023720
FUN.rk.hap1.000232	FUN.rk.hap2.023719
FUN.rk.hap1.000234	FUN.rk.hap2.023717
FUN.rk.hap1.000237	FUN.rk.hap2.023716
FUN.rk.hap1.000238	FUN.rk.hap2.023715
FUN.rk.hap1.000239	FUN.rk.hap2.023714
FUN.rk.hap1.000240	FUN.rk.hap2.023713
FUN.rk.hap1.000241	FUN.rk.hap2.023712
FUN.rk.hap1.000242	FUN.rk.hap2.023711
FUN.rk.hap1.000246	FUN.rk.hap2.023708
FUN.rk.hap1.000247	FUN.rk.hap2.023707
FUN.rk.hap1.000248	FUN.rk.hap2.037089
FUN.rk.hap1.000249	FUN.rk.hap2.023705
FUN.rk.hap1.000250	FUN.rk.hap2.023704
FUN.rk.hap1.000251	FUN.rk.hap2.023702
FUN.rk.hap1.000253	FUN.rk.hap2.023700
FUN.rk.hap1.000254	FUN.rk.hap2.023699
FUN.rk.hap1.000255	FUN.rk.hap2.023698
FUN.rk.hap1.000256	FUN.rk.hap2.023697
FUN.rk.hap1.000259	FUN.rk.hap2.023693
FUN.rk.hap1.000262	FUN.rk.hap2.040819
FUN.rk.hap1.000267	FUN.rk.hap2.019105
FUN.rk.hap1.000276	FUN.rk.hap2.023680
FUN.rk.hap1.000289	FUN.rk.hap2.023676
FUN.rk.hap1.000290	FUN.rk.hap2.000303
FUN.rk.hap1.000295	FUN.rk.hap2.000304
FUN.rk.hap1.000299	FUN.rk.hap2.000312
FUN.rk.hap1.000309	FUN.rk.hap2.000315
FUN.rk.hap1.000310	FUN.rk.hap2.000316
FUN.rk.hap1.000311	FUN.rk.hap2.000317
FUN.rk.hap1.000312	FUN.rk.hap2.000319
FUN.rk.hap1.000313	FUN.rk.hap2.000321
FUN.rk.hap1.000314	FUN.rk.hap2.000322
FUN.rk.hap1.000316	FUN.rk.hap2.000324
FUN.rk.hap1.000317	FUN.rk.hap2.000325
FUN.rk.hap1.000318	FUN.rk.hap2.000326
FUN.rk.hap1.000319	FUN.rk.hap2.000327
FUN.rk.hap1.000320	FUN.rk.hap2.000328
FUN.rk.hap1.000321	FUN.rk.hap2.000329
FUN.rk.hap1.000322	FUN.rk.hap2.000330
FUN.rk.hap1.000323	FUN.rk.hap2.000331
FUN.rk.hap1.000324	FUN.rk.hap2.000333
FUN.rk.hap1.000326	FUN.rk.hap2.000335
FUN.rk.hap1.000327	FUN.rk.hap2.000336
FUN.rk.hap1.000329	FUN.rk.hap2.000337
FUN.rk.hap1.000330	FUN.rk.hap2.000338
FUN.rk.hap1.000331	FUN.rk.hap2.000339
FUN.rk.hap1.000332	FUN.rk.hap2.000341
FUN.rk.hap1.000333	FUN.rk.hap2.000343
FUN.rk.hap1.000334	FUN.rk.hap2.000344
FUN.rk.hap1.000336	FUN.rk.hap2.000345
FUN.rk.hap1.000337	FUN.rk.hap2.000346
FUN.rk.hap1.000338	FUN.rk.hap2.000347
FUN.rk.hap1.000339	FUN.rk.hap2.000348
FUN.rk.hap1.000340	FUN.rk.hap2.000349
FUN.rk.hap1.000341	FUN.rk.hap2.000350
FUN.rk.hap1.000342	FUN.rk.hap2.000351
FUN.rk.hap1.000343	FUN.rk.hap2.000352
FUN.rk.hap1.000344	FUN.rk.hap2.000353
FUN.rk.hap1.000345	FUN.rk.hap2.000354
FUN.rk.hap1.000346	FUN.rk.hap2.000356
FUN.rk.hap1.000347	FUN.rk.hap2.000357
FUN.rk.hap1.000348	FUN.rk.hap2.000358
FUN.rk.hap1.000350	FUN.rk.hap2.000359
FUN.rk.hap1.000351	FUN.rk.hap2.000360
FUN.rk.hap1.000352	FUN.rk.hap2.000361
FUN.rk.hap1.000353	FUN.rk.hap2.000362
FUN.rk.hap1.000358	FUN.rk.hap2.000363
FUN.rk.hap1.000359	FUN.rk.hap2.000364
FUN.rk.hap1.000360	FUN.rk.hap2.000365
FUN.rk.hap1.000361	FUN.rk.hap2.000366
FUN.rk.hap1.000362	FUN.rk.hap2.000367
FUN.rk.hap1.000363	FUN.rk.hap2.000368
FUN.rk.hap1.000364	FUN.rk.hap2.000369
FUN.rk.hap1.000367	FUN.rk.hap2.000373
FUN.rk.hap1.000368	FUN.rk.hap2.000377
FUN.rk.hap1.000369	FUN.rk.hap2.000378
FUN.rk.hap1.000370	FUN.rk.hap2.000379
FUN.rk.hap1.000371	FUN.rk.hap2.000380
FUN.rk.hap1.000372	FUN.rk.hap2.000381
FUN.rk.hap1.000373	FUN.rk.hap2.000382
FUN.rk.hap1.000374	FUN.rk.hap2.000383
FUN.rk.hap1.000375	FUN.rk.hap2.000384
FUN.rk.hap1.000376	FUN.rk.hap2.000385
FUN.rk.hap1.000377	FUN.rk.hap2.000386
FUN.rk.hap1.000378	FUN.rk.hap2.000387
FUN.rk.hap1.000380	FUN.rk.hap2.000389
FUN.rk.hap1.000381	FUN.rk.hap2.000390
FUN.rk.hap1.000382	FUN.rk.hap2.000391
FUN.rk.hap1.000383	FUN.rk.hap2.000392
FUN.rk.hap1.000384	FUN.rk.hap2.000394
FUN.rk.hap1.000385	FUN.rk.hap2.000395
FUN.rk.hap1.000386	FUN.rk.hap2.000396
FUN.rk.hap1.000387	FUN.rk.hap2.000398
FUN.rk.hap1.000388	FUN.rk.hap2.000399
FUN.rk.hap1.000390	FUN.rk.hap2.000401
FUN.rk.hap1.000391	FUN.rk.hap2.000402
FUN.rk.hap1.000392	FUN.rk.hap2.000403
FUN.rk.hap1.000395	FUN.rk.hap2.000405
FUN.rk.hap1.000396	FUN.rk.hap2.000406
FUN.rk.hap1.000398	FUN.rk.hap2.000409
FUN.rk.hap1.000399	FUN.rk.hap2.000410
FUN.rk.hap1.000400	FUN.rk.hap2.000411
FUN.rk.hap1.000401	FUN.rk.hap2.000412
FUN.rk.hap1.000402	FUN.rk.hap2.000414
FUN.rk.hap1.000403	FUN.rk.hap2.000415
FUN.rk.hap1.000404	FUN.rk.hap2.000416
FUN.rk.hap1.000405	FUN.rk.hap2.000417
FUN.rk.hap1.000408	FUN.rk.hap2.000419
FUN.rk.hap1.000409	FUN.rk.hap2.000421
FUN.rk.hap1.000410	FUN.rk.hap2.000423
FUN.rk.hap1.000411	FUN.rk.hap2.000424
FUN.rk.hap1.000412	FUN.rk.hap2.000425
FUN.rk.hap1.000413	FUN.rk.hap2.000426
FUN.rk.hap1.000416	FUN.rk.hap2.000431
FUN.rk.hap1.000417	FUN.rk.hap2.000432
FUN.rk.hap1.000419	FUN.rk.hap2.000434
FUN.rk.hap1.000421	FUN.rk.hap2.000435
FUN.rk.hap1.000426	FUN.rk.hap2.000436
FUN.rk.hap1.000427	FUN.rk.hap2.000437
FUN.rk.hap1.000429	FUN.rk.hap2.000439
FUN.rk.hap1.000430	FUN.rk.hap2.000440
FUN.rk.hap1.000431	FUN.rk.hap2.000441
FUN.rk.hap1.000432	FUN.rk.hap2.000442
FUN.rk.hap1.000433	FUN.rk.hap2.000443
FUN.rk.hap1.000434	FUN.rk.hap2.000444
FUN.rk.hap1.000435	FUN.rk.hap2.000445
FUN.rk.hap1.000436	FUN.rk.hap2.000446
FUN.rk.hap1.000440	FUN.rk.hap2.000459
FUN.rk.hap1.000441	FUN.rk.hap2.000462
FUN.rk.hap1.000442	FUN.rk.hap2.000463
FUN.rk.hap1.000443	FUN.rk.hap2.000464
FUN.rk.hap1.000444	FUN.rk.hap2.000465
FUN.rk.hap1.000452	FUN.rk.hap2.000471
FUN.rk.hap1.000453	FUN.rk.hap2.000472
FUN.rk.hap1.000454	FUN.rk.hap2.000473
FUN.rk.hap1.000455	FUN.rk.hap2.000474
FUN.rk.hap1.000456	FUN.rk.hap2.000475
FUN.rk.hap1.000457	FUN.rk.hap2.000476
