baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
transcript257993.rk.h1.chr08.nnic	198.689190314744	2.03846610568765	0.0789038059479639	25.8348261049916	3.60341228748934e-147	4.96243923171594e-143
transcript199113.rk.h1.chr18.nnic	567.526222421972	-3.39688539573794	0.131411049398921	-25.8493133665351	2.47673581584954e-147	4.96243923171594e-143
transcript69553.rk.h2.chr06.nnic	26828.5963548906	18.1888765837775	0.742687265941195	24.4906266983412	1.8590991975544e-132	1.7068389732747e-128
transcript181732.rk.h1.chr18.nnic	8876.20233537714	-16.5565371135942	0.714029204650268	-23.1874788954936	6.09081668002296e-119	4.19398409544681e-115
transcript80284.rk.h1.chr19.nnic	4008.51086502407	-15.4095760198952	0.71078012707364	-21.6798070640187	3.18210675350924e-104	1.7528953262381e-100
transcript295108.rk.h1.chr11.nnic	2594.2869275817	2.54259993790154	0.11977677514127	21.2278209603046	5.28571009516747e-100	2.42640521918663e-96
transcript30135.rk.h1.chr14.nic	2580.81083876356	-14.7747077250404	0.697275005990398	-21.1892117143287	1.2009094633814e-99	4.13458116873922e-96
transcript235074.rk.h1.chr14.nic	2648.24800644444	-14.8116515820628	0.699009226678212	-21.1894936672722	1.19374032468723e-99	4.13458116873922e-96
transcript46931.rk.h2.chr13.nic	5038.9472833501	15.7762441541498	0.747201994176502	21.1137607729981	5.94487857686266e-99	1.8193310071392e-95
transcript110552.rk.h2.chr16.nnic	2012.91391665794	14.4523002077881	0.686952810287807	21.0382721947569	2.92855555377621e-98	8.06612056176583e-95
transcript109819.rk.h1.chr08.nnic	2900.49129244825	-14.9429082658681	0.710824941392316	-21.0219245213864	4.13330101786621e-98	1.0349409994099e-94
transcript119643.rk.h2.chr13.nnic	2711.34408025199	14.882202169264	0.719608295370296	20.6809763937003	5.13901465461373e-95	1.17953233860022e-91
transcript145230.rk.h1.chr08.nnic	2305.82736903392	-14.6115866248573	0.710055322876463	-20.5780960357641	4.31291591758874e-94	9.13774177831898e-91
transcript145109.rk.h2.chr08.nic	2582.47635063535	14.8116734473945	0.721462771864313	20.5300592421699	1.16033327901552e-93	2.28278996456604e-90
